| Name               | Version     | License                                            | URL                                                                  |
|--------------------|-------------|----------------------------------------------------|----------------------------------------------------------------------|
| Flask              | 3.1.3       | BSD-3-Clause                                       | https://github.com/pallets/flask/                                    |
| Jinja2             | 3.1.6       | BSD License                                        | https://github.com/pallets/jinja/                                    |
| MarkupSafe         | 3.0.3       | BSD-3-Clause                                       | https://github.com/pallets/markupsafe/                               |
| PyYAML             | 6.0.3       | MIT License                                        | https://pyyaml.org/                                                  |
| Pygments           | 2.21.0      | BSD-2-Clause                                       | https://pygments.org                                                 |
| Werkzeug           | 3.1.8       | BSD-3-Clause                                       | https://github.com/pallets/werkzeug/                                 |
| beautifulsoup4     | 4.15.0      | MIT License                                        | https://www.crummy.com/software/BeautifulSoup/bs4/                   |
| blinker            | 1.9.0       | MIT License                                        | https://github.com/pallets-eco/blinker/                              |
| certifi            | 2026.7.22   | Mozilla Public License 2.0 (MPL 2.0)               | https://github.com/certifi/python-certifi                            |
| charset-normalizer | 3.5.1       | MIT                                                | https://github.com/jawah/charset_normalizer/blob/master/CHANGELOG.md |
| click              | 8.5.0       | BSD-3-Clause                                       | https://github.com/pallets/click/                                    |
| contourpy          | 1.4.0       | BSD-3-Clause                                       | https://github.com/contourpy/contourpy                               |
| cycler             | 0.12.1      | BSD License                                        | https://matplotlib.org/cycler/                                       |
| fonttools          | 4.65.0      | MIT                                                | http://github.com/fonttools/fonttools                                |
| idna               | 3.20        | BSD-3-Clause                                       | https://github.com/kjd/idna                                          |
| itsdangerous       | 2.2.0       | BSD License                                        | https://github.com/pallets/itsdangerous/                             |
| kiwisolver         | 1.5.1       | BSD License                                        | https://github.com/nucleic/kiwi                                      |
| markdown-it-py     | 4.2.0       | MIT License                                        | https://github.com/executablebooks/markdown-it-py                    |
| matplotlib         | 3.11.2      | Python Software Foundation License                 | https://matplotlib.org                                               |
| mdurl              | 0.1.2       | MIT License                                        | https://github.com/executablebooks/mdurl                             |
| numpy              | 2.5.3       | BSD-3-Clause AND 0BSD AND MIT AND Zlib AND CC0-1.0 | https://numpy.org                                                    |
| packaging          | 26.3        | Apache-2.0 OR BSD-2-Clause                         | https://github.com/pypa/packaging                                    |
| pandas             | 3.0.6       | BSD License                                        | https://pandas.pydata.org                                            |
| pillow             | 12.3.0      | MIT-CMU                                            | https://python-pillow.github.io                                      |
| pyparsing          | 3.3.3       | MIT                                                | https://github.com/pyparsing/pyparsing/                              |
| python-dateutil    | 2.9.0.post0 | Apache Software License; BSD License               | https://github.com/dateutil/dateutil                                 |
| requests           | 2.34.2      | Apache Software License                            | https://github.com/psf/requests                                      |
| rich               | 15.0.0      | MIT License                                        | https://github.com/Textualize/rich                                   |
| six                | 1.17.0      | MIT License                                        | https://github.com/benjaminp/six                                     |
| soupsieve          | 2.9.2       | MIT                                                | https://github.com/facelessuser/soupsieve                            |
| typing_extensions  | 4.16.0      | PSF-2.0                                            | https://github.com/python/typing_extensions                          |
| tzdata             | 2026.4      | Apache-2.0                                         | https://github.com/python/tzdata                                     |
| urllib3            | 2.8.0       | MIT                                                | https://github.com/urllib3/urllib3/blob/main/CHANGES.rst             |
